38913,38913-a-light-in-the-darkness,"A Light in the Darkness","<b>Discover</b> a minion. Give it +1/+1.","Wait, how can you have a light in the dark? If you turn on a light while it’s dark, doesn’t that mean it’s no longer dark?"
50019,50019-a-new-challenger,"A New Challenger...","<b>Discover</b> a 6-Cost minion. Summon it with <b>Taunt</b> and <b>Divine Shield</b>.","… Arrives? Approaches? TELL US ALREADY!"
38531,38531-aberrant-berserker,"Aberrant Berserker","Has +2 Attack while damaged.","I berserk, therefore I am."
43245,43245-abominable-bowman,"Abominable Bowman","<b>Deathrattle:</b> Summon a random friendly Beast that died this game.","Frosty the Bowman... was an angry hateful soul... with a fresh hewn bow and a missing nose..."
440,440-abomination,Abomination,"<b>Taunt</b>. <b>Deathrattle:</b> Deal 2 damage to ALL characters.","Abominations enjoy Fresh Meat and long walks on the beach."
69846,69846-abomination,Abomination,"<b>Taunt</b>. <b>Deathrattle:</b> Deal 2 damage to ALL characters.","Abominations enjoy Fresh Meat and long walks on the beach."
242,242-abusive-sergeant,"Abusive Sergeant","<b>Battlecry:</b> Give a minion +2 Attack this turn.","ADD ME TO YOUR DECK, MAGGOT!"
69649,69649-abusive-sergeant,"Abusive Sergeant","<b>Battlecry:</b> Give a minion +2 Attack this turn.","ADD ME TO YOUR DECK, MAGGOT!"
69761,69761-abusive-sergeant,"Abusive Sergeant","<b>Battlecry:</b> Give a minion +2 Attack this turn.","ADD ME TO YOUR DECK, MAGGOT!"
40541,40541-abyssal-enforcer,"Abyssal Enforcer","<b>Battlecry:</b> Deal 3 damage to all other characters.","The Kabal print this on every package of illicit Mana Crystals: WARNING - DO NOT PUT WITHIN REACH OF ABYSSALS. THIS IS NOT APPROVED FOR USE BY FLAMING DEMONS OF ANY KIND."
54894,54894-abyssal-summoner,"Abyssal Summoner","<b>Battlecry:</b> Summon a Demon with <b>Taunt</b> and stats equal to your hand size.","But gnomes have tiny hands..."
48040,48040-academic-espionage,"Academic Espionage","Shuffle 10 cards from your opponent's class into your deck. They cost (1).","The tenth Pyroblast really felt like overkill."
60003,60003-ace-hunter-kreen,"Ace Hunter Kreen","Your other characters are <b>Immune</b> while attacking.","This grandmaster marksman loves winning tournaments and eating a bit of ice cream."
42773,42773-acherus-veteran,"Acherus Veteran","<b>Battlecry:</b> Give a friendly minion +1 Attack.","This is my Runeblade. There are many like it but this one is mine."
906,906-acidic-swamp-ooze,"Acidic Swamp Ooze","<b>Battlecry:</b> Destroy your opponent's weapon.","Oozes love Flamenco. Don't ask."
68441,68441-acidic-swamp-ooze,"Acidic Swamp Ooze","<b>Battlecry:</b> Destroy your opponent's weapon.","Oozes love Flamenco. Don't ask."
69548,69548-acidic-swamp-ooze,"Acidic Swamp Ooze","<b>Battlecry:</b> Destroy your opponent's weapon.","Oozes love Flamenco. Don't ask."
2633,2633-acidmaw,Acidmaw,"Whenever another minion takes damage, destroy it.","With the help of his trusty sidekick Dreadscale, the giant jormungar Acidmaw is ready to face any knight!"
42596,42596-acolyte-of-agony,"Acolyte of Agony",<b>Lifesteal</b>,"It takes many years of practiced study in order to fully master agony."
1659,1659-acolyte-of-pain,"Acolyte of Pain","Whenever this minion takes damage, draw a card.","He trained when he was younger to be an acolyte of joy, but things didn’t work out like he thought they would."
69809,69809-acolyte-of-pain,"Acolyte of Pain","Whenever this minion takes damage, draw a card.","He trained when he was younger to be an acolyte of joy, but things didn’t work out like he thought they would."
51790,51790-acornbearer,Acornbearer,"<b>Deathrattle:</b> Add two 1/1 Squirrels to your hand.","You’d be nuts to mess with the squirrel squad."
61273,61273-acrobatics,Acrobatics,"Draw 2 cards. If you play both this turn, draw 2 more.","He soars through the air with the greatest of fleas."
54749,54749-activate-the-obelisk,"Activate the Obelisk","<b>Quest:</b> Restore 15 Health. <b>Reward:</b> Obelisk's Eye.","A one-eyed, one stone, towering purple minion healer."
41944,41944-adaptation,Adaptation,"<b>Adapt</b> a friendly minion.","Pray for salvation. If that fails, pray for extra horns or bigger teeth."
38916,38916-addled-grizzly,"Addled Grizzly","After you summon a minion, give it +1/+1.","Druids who spend too long in bear form are more susceptible to the whispers of the Old Gods. Right now they are whispering the lyrics to ""La Bamba""."
59705,59705-adorable-infestation,"Adorable Infestation","Give a minion +1/+1. Summon a 1/1 Cub. Add a Cub to your hand.","Some cards are strong by sheer power; others draw strength from love."
62347,62347-aegwynn-the-guardian,"Aegwynn, the Guardian","<b>Spell Damage +2</b> <b>Deathrattle:</b> The next minion you draw inherits these powers.","With Medivh as her son, nothing YOU do could ever disappoint her."
56089,56089-aeon-reaver,"Aeon Reaver","<b>Battlecry:</b> Deal damage to a minion equal to its Attack.","Ripping centuries asunder helps him manage his busy schedule."
55036,55036-aeroponics,Aeroponics,"Draw 2 cards. Costs (2) less for each Treant you control.","Good seeds can go far."
63347,63347-against-all-odds,"Against All Odds","Destroy ALL odd-Attack minions.","Time to EVEN out the playing field."
64631,64631-aimed-shot,"Aimed Shot","Deal 3 damage. Your next Hero Power deals 2 more damage.","Wait, you WEREN'T aiming before?!"
41152,41152-air-elemental,"Air Elemental","Can't be targeted by spells or Hero Powers.","Makes a mean puff pastry."
56086,56086-air-raid,"Air Raid","<b>Twinspell</b> Summon two 1/1 Silver Hand Recruits with <b>Taunt</b>.","It's difficult to get an air raid together. You have to get twenty-five people, and they all want to play a paladin!"
50074,50074-akali-the-rhino,"Akali, the Rhino","<b>Rush</b> <b>Overkill:</b> Draw a <b>Rush</b> minion from your deck. Give it +5/+5.","Most trolls only get to “AAAAHHH!” and don’t make it to the “kali” part."
56530,56530-akama,Akama,"<b>Stealth</b> <b>Deathrattle:</b> Shuffle 'Akama Prime' into your deck.","""To many of my people, I am known as a traitor... as Illidan's lapdog. I will remain in the shadows, for now... Actually, maybe I'll just remain in the shadows forever."""
32,32-alakir-the-windlord,"Al'Akir the Windlord","<b>Charge, Divine Shield, Taunt, Windfury</b>","He is the weakest of the four Elemental Lords. And the other three don't let him forget it."
